TOP.640a2c07.000dc385	START
TOP.640a2c07.000dc385	user_options->show	0
TOP.640a2c07.000dc385	user_options->speed_only	0
TOP.640a2c07.000dc385	user_options->spin_damp	0
TOP.640a2c07.000dc385	user_options->status	0
TOP.640a2c07.000dc385	user_options->status_json	0
TOP.640a2c07.000dc385	user_options->status_timer	10
TOP.640a2c07.000dc385	user_options->stdout_flag	0
TOP.640a2c07.000dc385	user_options->usage	0
TOP.640a2c07.000dc385	user_options->username	0
TOP.640a2c07.000dc385	user_options->veracrypt_pim_start	485
TOP.640a2c07.000dc385	user_options->veracrypt_pim_stop	485
TOP.640a2c07.000dc385	user_options->version	0
TOP.640a2c07.000dc385	user_options->workload_profile	2
TOP.640a2c07.000dc385	user_options->brain_client	0
TOP.640a2c07.000dc385	user_options->brain_client_features	2
TOP.640a2c07.000dc385	user_options->brain_server	0
TOP.640a2c07.000dc385	user_options->brain_server_timer	300
TOP.640a2c07.000dc385	user_options->brain_port	6863
TOP.640a2c07.000dc385	user_options->brain_session	0
TOP.640a2c07.000dc385	proc_start	1678388231
TOP.640a2c07.000dc385	proc_stop	1678388232
TOP.640a2c07.000dc385	STOP
TOP.640a2c9d.0002fea5	START
TOP.640a2c9d.0002fea5	folder_config->cwd	C:\Users\MARIO\Desktop\RacunalnaForenzika\Labovi\lab1\hashcat-6.2.6
TOP.640a2c9d.0002fea5	folder_config->install_dir	.
TOP.640a2c9d.0002fea5	folder_config->profile_dir	.
TOP.640a2c9d.0002fea5	folder_config->session_dir	.
TOP.640a2c9d.0002fea5	folder_config->shared_dir	.
TOP.640a2c9d.0002fea5	user_options->encoding_from	utf-8
TOP.640a2c9d.0002fea5	user_options->encoding_to	utf-8
TOP.640a2c9d.0002fea5	user_options->rule_buf_l	:
TOP.640a2c9d.0002fea5	user_options->rule_buf_r	:
TOP.640a2c9d.0002fea5	user_options->session	hashcat
TOP.640a2c9d.0002fea5	user_options->separator	:
TOP.640a2c9d.0002fea5	user_options->limit	0
TOP.640a2c9d.0002fea5	user_options->skip	0
TOP.640a2c9d.0002fea5	user_options->attack_mode	3
TOP.640a2c9d.0002fea5	user_options->benchmark	0
TOP.640a2c9d.0002fea5	user_options->benchmark_all	0
TOP.640a2c9d.0002fea5	user_options->bitmap_max	18
TOP.640a2c9d.0002fea5	user_options->bitmap_min	16
TOP.640a2c9d.0002fea5	user_options->debug_mode	0
TOP.640a2c9d.0002fea5	user_options->hash_info	0
TOP.640a2c9d.0002fea5	user_options->force	0
